,Model,Sensitivity,Specificity,Precision,AP,AUCROC,logAUCROC,BedROC,EF1%,RIE
0,hhha_3,0.773,0.368,0.024,0.034,0.645,0.222,1.0,1.706,1.567
1,hhha_4,0.022,0.985,0.028,0.02,0.504,0.314,1.0,1.877,1.567
2,rhaa_13,0.16,0.927,0.042,0.026,0.545,0.25,1.0,3.072,1.567
3,rhaa_14,0.16,0.927,0.042,0.026,0.545,0.25,1.0,3.242,1.567
4,rhaa_5,0.514,0.731,0.037,0.042,0.63,0.245,1.0,1.877,1.567
5,rhha_15,0.09,0.926,0.024,0.026,0.51,0.233,1.0,5.119,1.567
6,rhha_2,0.387,0.706,0.026,0.034,0.563,0.215,1.0,4.096,1.567
7,rhha_6,0.572,0.522,0.023,0.019,0.515,0.142,1.0,1.877,1.567
8,rhha_7,0.485,0.753,0.038,0.038,0.626,0.24,1.0,6.314,1.567
9,aaaa_3,0.128,0.945,0.045,0.025,0.538,0.26,1.0,3.754,1.567
10,hhaa_10,0.729,0.422,0.025,0.041,0.662,0.241,1.0,0.853,1.567
11,hhaa_13,0.433,0.9,0.08,0.06,0.672,0.322,1.0,6.314,1.567
12,hhaa_14,0.082,0.909,0.018,0.019,0.495,0.195,1.0,0.0,1.567
13,hhaa_18,0.138,0.964,0.071,0.03,0.552,0.298,1.0,4.778,1.567
14,hhaa_19,0.082,0.909,0.018,0.019,0.495,0.195,1.0,0.0,1.567
15,hhha_1,0.44,0.768,0.037,0.035,0.613,0.232,1.0,3.584,1.567
16,hhha_2,0.305,0.872,0.046,0.029,0.591,0.241,1.0,2.048,1.567
17,raaa_3,0.027,0.986,0.037,0.02,0.507,0.32,1.0,1.536,1.567
18,raaa_7,0.027,0.986,0.037,0.02,0.507,0.32,1.0,1.536,1.567
19,rhaa_10,0.043,0.972,0.03,0.021,0.508,0.278,1.0,2.048,1.567
20,rhaa_12,0.058,0.94,0.019,0.022,0.5,0.233,1.0,3.584,1.567
21,rhaa_15,0.317,0.708,0.021,0.052,0.528,0.218,1.0,9.727,1.567
22,rhha_11,0.133,0.961,0.064,0.03,0.548,0.293,1.0,4.949,1.567
23,rhha_4,0.392,0.828,0.044,0.034,0.614,0.24,1.0,2.56,1.567
24,aaaa_1,0.309,0.775,0.027,0.027,0.552,0.202,1.0,1.024,1.567
25,aaaa_2,0.28,0.887,0.047,0.041,0.589,0.267,1.0,6.655,1.567
26,haaa_10,0.121,0.944,0.042,0.026,0.534,0.261,1.0,4.608,1.567
27,haaa_5,0.765,0.513,0.031,0.026,0.627,0.178,1.0,0.853,1.567
28,hhaa_12,0.292,0.849,0.037,0.023,0.567,0.206,1.0,0.512,1.567
29,hhaa_16,0.589,0.676,0.035,0.025,0.616,0.186,1.0,0.171,1.567
30,hhaa_17,0.336,0.762,0.028,0.022,0.55,0.183,1.0,0.853,1.567
31,hhaa_2,0.561,0.832,0.063,0.048,0.692,0.284,1.0,7.338,1.567
32,hhaa_4,0.391,0.75,0.03,0.021,0.561,0.177,1.0,0.341,1.567
33,hhaa_7,0.473,0.805,0.046,0.055,0.651,0.277,1.0,6.143,1.567
34,hhaa_9,0.834,0.35,0.025,0.047,0.597,0.206,1.0,4.778,1.567
35,raaa_4,0.626,0.735,0.045,0.038,0.68,0.247,1.0,4.608,1.567
36,rhaa_11,0.536,0.617,0.027,0.028,0.554,0.173,1.0,2.901,1.567
37,rhaa_16,0.195,0.754,0.016,0.02,0.473,0.151,1.0,1.365,1.567
38,rhaa_9,0.599,0.605,0.029,0.02,0.554,0.155,1.0,0.853,1.567
39,rhha_1,0.754,0.576,0.034,0.045,0.718,0.262,1.0,0.683,1.567
40,rhha_10,0.766,0.539,0.032,0.043,0.713,0.255,1.0,2.901,1.567
41,rhha_12,0.278,0.882,0.045,0.04,0.585,0.263,1.0,6.997,1.567
42,rhha_13,0.652,0.621,0.033,0.034,0.659,0.228,1.0,2.048,1.567
43,rhha_14,0.875,0.458,0.031,0.052,0.766,0.269,1.0,1.877,1.567
44,rhha_3,0.614,0.598,0.03,0.03,0.628,0.21,1.0,1.536,1.567
45,rhha_5,0.747,0.453,0.027,0.107,0.696,0.334,1.0,17.065,1.567
46,rhha_8,0.853,0.421,0.029,0.033,0.693,0.212,1.0,0.0,1.567
47,rhha_9,0.626,0.603,0.031,0.03,0.629,0.21,1.0,2.048,1.567
