,Model,Sensitivity,Specificity,Precision,AP,AUCROC,logAUCROC,BedROC,EF1%,RIE
0,aaaa_1,0.309,0.775,0.027,0.027,0.552,0.202,1.0,1.024,1.567
1,aaaa_2,0.28,0.887,0.047,0.041,0.589,0.267,1.0,6.655,1.567
2,haaa_10,0.121,0.944,0.042,0.026,0.534,0.261,1.0,4.608,1.567
3,haaa_5,0.765,0.513,0.031,0.026,0.627,0.178,1.0,0.853,1.567
4,hhaa_12,0.292,0.849,0.037,0.023,0.567,0.206,1.0,0.512,1.567
5,hhaa_16,0.589,0.676,0.035,0.025,0.616,0.186,1.0,0.171,1.567
6,hhaa_17,0.336,0.762,0.028,0.022,0.55,0.183,1.0,0.853,1.567
7,hhaa_2,0.561,0.832,0.063,0.048,0.692,0.284,1.0,7.338,1.567
8,hhaa_4,0.391,0.75,0.03,0.021,0.561,0.177,1.0,0.341,1.567
9,hhaa_7,0.473,0.805,0.046,0.055,0.651,0.277,1.0,6.143,1.567
10,hhaa_9,0.834,0.35,0.025,0.047,0.597,0.206,1.0,4.778,1.567
11,raaa_4,0.626,0.735,0.045,0.038,0.68,0.247,1.0,4.608,1.567
12,rhaa_11,0.536,0.617,0.027,0.028,0.554,0.173,1.0,2.901,1.567
13,rhaa_16,0.195,0.754,0.016,0.02,0.473,0.151,1.0,1.365,1.567
14,rhaa_9,0.599,0.605,0.029,0.02,0.554,0.155,1.0,0.853,1.567
15,rhha_1,0.754,0.576,0.034,0.045,0.718,0.262,1.0,0.683,1.567
16,rhha_10,0.766,0.539,0.032,0.043,0.713,0.255,1.0,2.901,1.567
17,rhha_12,0.278,0.882,0.045,0.04,0.585,0.263,1.0,6.997,1.567
18,rhha_13,0.652,0.621,0.033,0.034,0.659,0.228,1.0,2.048,1.567
19,rhha_14,0.875,0.458,0.031,0.052,0.766,0.269,1.0,1.877,1.567
20,rhha_3,0.614,0.598,0.03,0.03,0.628,0.21,1.0,1.536,1.567
21,rhha_5,0.747,0.453,0.027,0.107,0.696,0.334,1.0,17.065,1.567
22,rhha_8,0.853,0.421,0.029,0.033,0.693,0.212,1.0,0.0,1.567
23,rhha_9,0.626,0.603,0.031,0.03,0.629,0.21,1.0,2.048,1.567
24,rrha_4,0.834,0.844,0.097,0.089,0.846,0.359,1.0,1.365,1.567
