mol,rmsd,hitmap,ID,Active
O=C(O)C(=O)CC(=O)c1cc(Cc2ccccc2)ccc1,0.28236273,24 26 31 28,Active_1,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCN(C(=O)CN(C)C)C3)=N2)cc1,0.56735522,42 53 54 56,Active_2,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCN(C(=O)C)C3)=N2)cc1,0.56735522,37 47 48 50,Active_3,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(CC)CCOC3)=N2)cc1,0.56735522,34 43 44 46,Active_4,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C([C@H]3N(C)CC[C@@H](O)C3)=N2)cc1,0.56735522,33 43 44 46,Active_5,1
O=C(NCCc1ccccc1)C1=C(O)C(=O)N(C)C(C2N(C)CCOC2)=N1,0.56735522,33 42 43 45,Active_6,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCC3)=N2)cc1,0.56735522,31 38 39 41,Active_7,1
Brc1cc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCOC3)=N2)ccc1,0.56735522,34 43 44 46,Active_8,1
Fc1ccc(CNC(=O)c2c(O)c(O)nc(C3N(C)CCOC3)n2)cc1,0.56733471,31 44 41 43,Active_9,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCSC3)=N2)cc1,0.56735522,32 39 40 42,Active_10,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CC(=O)N(C)C3)=N2)cc1,0.34759,32 48 47 49,Active_11,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C([C@H]3N(C)CC(F)(F)C3)=N2)cc1,0.5673058,33 40 41 43,Active_12,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C([C@H]3N(C)C[C@H](O)C3)=N2)cc1,0.5666579,32 42 43 45,Active_13,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C([C@H]3N(C)C[C@@H](C)C3)=N2)cc1,0.56723255,32 39 40 42,Active_14,1
S(=O)(=O)(N[C@@H]1CN(C)[C@H](C=2N(C)C(=O)C(O)=C(C(=O)NCc3ccc(F)cc3)N=2)C1)C,0.56785053,37 50 51 53,Active_15,1
F[C@@H]1CN(C)[C@H](C=2N(C)C(=O)C(O)=C(C(=O)NCc3ccc(F)cc3)N=2)C1,0.5666579,32 39 40 42,Active_16,1
Clc1c(F)ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCOC3)=N2)c1,0.56735522,35 44 45 47,Active_17,1
Fc1c(C)cc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCOC3)=N2)cc1,0.56735522,35 47 43 45,Active_18,1
Fc1c(F)ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCOC3)=N2)c1,0.56735522,34 43 44 46,Active_19,1
S(=O)(=O)(N(C)C)N1CC(N(C)CC1)C=1N(C)C(=O)C(O)=C(C(=O)NCc2ccc(F)cc2)N=1,0.56735522,41 54 55 57,Active_20,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C(=O)C)CCOC3)=N2)cc1,0.41962564,31 36 37 38,Active_21,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCN(C(=O)NCC)C3)=N2)cc1,0.56735522,39 49 50 52,Active_22,1
Fc1cc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCOC3)=N2)ccc1,0.56735522,33 42 43 45,Active_23,1
O=C(NCc1ccccc1)C1=C(O)C(=O)N(C)C(C2N(C)CCOC2)=N1,0.56735522,32 41 42 44,Active_24,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C(OC(C)(C)C)=O)CCOC3)=N2)cc1,0.56734663,38 52 53 55,Active_25,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C([C@H]3N(C)CCC3)=N2)cc1,0.56735522,31 38 39 41,Active_26,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCN(C)C3)=N2)cc1,0.56735522,35 43 44 46,Active_27,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CC[SH0](=O)C3)=N2)cc1,0.56735522,34 44 45 47,Active_28,1
